WORDCOUNTS,WEIGHT
the,914
of,506
to,375
and,324
in,280
a,232
s,141
his,138
he,130
for,129
as,113
that,82
with,81
secretary,76
civil,69
their,61
office,59
from,56
treasury,56
by,55
admiralty,55
service,54
was,53
king,52
had,52
an,51
not,51
be,49
but,47
it,46
or,46
on,42
board,41
political,40
who,40
i,39
at,38
secretaries,37
customs,37
see,36
did,36
grenville,35
all,33
its,33
state,32
clerk,32
lord,32
papers,31
friends,31
him,31
they,30
london,30
during,30
this,30
servants,29
government,28
than,28
administrative,28
one,27
is,27
administration,27
american,26
when,26
department,26
john,26
jenkinson,26
commissioners,25
more,25
became,25
whately,24
only,24
have,24
clerks,23
men,23
first,22
politicians,22
public,22
ministry,22
them,22
position,21
no,21
also,21
sir,21
which,21
undersecretary,21
career,20
century,20
most,20
many,20
man,20
were,20
into,19
even,19
could,19
work,19
year,19
these,19
ibid,19
upon,19
might,18
such,18
knox,17
other,17
british,17
shelburne,17
after,17
stephens,17
been,17
any,17
north,17
politician,16
offices,16
b,16
parliament,16
william,16
pownall,16
if,15
chief,15
politics,15
served,15
because,15
eighteenth,15
servant,15
franklin,15
so,15
are,15
until,15
although,15
parliamentary,14
act,14
out,14
ed,14
hooper,14
trade,14
george,14
vols,13
some,13
duke,13
stanley,13
earl,13
pounds,13
several,13
mss,13
same,13
less,13
wood,13
would,13
both,13
through,13
policy,12
worked,12
wickwire,12
influence,12
four,12
permanent,12
example,12
bm,12
second,12
business,12
new,12
clerical,12
held,12
dnb,12
burchett,12
then,12
add,12
years,12
modern,11
experience,11
walpole,11
able,11
staff,11
himself,11
corbett,11
adm,11
minute,11
lords,11
indeed,11
yet,11
departments,11
perhaps,11
time,11
robinson,11
secretaryship,11
went,11
cooper,11
between,11
should,11
before,10
those,10
fees,10
may,10
whose,10
received,10
keppel,10
secured,10
like,10
each,10
different,10
fol,10
hundred,9
has,9
fols,9
general,9
edward,9
my,9
against,9
positions,9
administrator,9
power,9
minor,9
letters,9
two,9
duties,9
remained,9
private,9
newcastle,9
enjoyed,9
usually,9
sandwich,9
over,9
iii,9
job,9
particular,9
burke,9
commissioner,9
group,8
rockingham,8
pitt,8
west,8
letter,8
changes,8
important,8
friend,8
scrope,8
cleveland,8
naval,8
byng,8
began,8
life,8
subministers,8
commission,8
according,8
admiral,8
colonial,8
charles,8
way,7
bute,7
former,7
there,7
robert,7
g,7
nor,7
apr,7
left,7
patronage,7
deputy,7
war,7
however,7
opposition,7
colonies,7
used,7
politically,7
correspondence,7
wrote,7
official,7
reports,7
bell,7
never,7
present,7
merit,7
three,7
period,7
martin,7
pro,7
james,7
jucker,7
me,7
extra,7
considered,7
historical,7
information,7
much,7
o,6
personnel,6
t,6
system,6
weston,6
richard,6
since,6
ability,6
employees,6
support,6
retained,6
persons,6
your,6
required,6
well,6
part,6
tenure,6
place,6
personal,6
employed,6
will,6
action,6
oxford,6
chatham,6
under,6
neither,6
party,6
name,6
superiors,6
pamphlet,6
another,6
thomas,6
lowndes,6
salaries,6
stamp,6
best,6
loyalty,6
far,6
plantation,6
person,6
must,6
appointed,6
samuel,6
offered,6
e,5
measures,5
english,5
history,5
holding,5
long,5
later,5
england,5
namier,5
continue,5
careers,5
take,5
sinecure,5
historians,5
money,5
secretaryships,5
better,5
higher,5
without,5
proved,5
view,5
entered,5
produced,5
knowledge,5
officers,5
responsibility,5
wished,5
oct,5
undersecretaries,5
various,5
july,5
phelps,5
about,5
regardless,5
again,5
others,5
navy,5
took,5
jobs,5
concern,5
described,5
promotion,5
lost,5
often,5
responsible,5
undersecretaryship,5
eng,5
report,5
subordinate,5
manuscripts,5
while,5
think,5
jan,5
colleagues,5
c,5
entire,5
abandoned,5
major,5
faction,5
created,4
per,4
library,4
h,4
hoon,4
plantations,4
being,4
taken,4
j,4
seems,4
services,4
twenty,4
great,4
brief,4
rigby,4
retired,4
right,4
alcock,4
determined,4
cited,4
thus,4
review,4
pay,4
supremacy,4
turn,4
rather,4
opportunity,4
similar,4
serve,4
old,4
quoted,4
powerful,4
bedford,4
hereafter,4
expressed,4
came,4
fortunes,4
found,4
called,4
ambitions,4
sinecures,4
record,4
basis,4
fired,4
secret,4
nation,4
gave,4
own,4
good,4
change,4
attached,4
lordship,4
dedicated,4
up,4
provided,4
therefore,4
opportunities,4
security,4
orders,4
porten,4
death,4
addition,4
head,4
end,4
considerable,4
income,4
council,4
peerage,4
father,4
made,4
depended,4
eden,4
pamphlets,4
nothing,4
obtained,4
latter,4
study,4
become,4
plans,4
structure,4
looked,4
connections,4
professional,4
attention,4
pensioned,4
staffed,4
today,4
continued,4
chance,4
employment,4
associated,4
believed,4
ever,4
brooke,4
refused,4
post,4
ordered,4
proposed,4
reign,4
whether,4
shall,4
extent,4
little,4
freemantle,4
duty,4
nov,4
course,4
you,4
headed,4
views,4
among,4
does,3
now,3
lowther,3
resulted,3
subministerial,3
needed,3
diplomatic,3
true,3
favor,3
committee,3
member,3
permanence,3
every,3
originally,3
ii,3
give,3
advanced,3
nature,3
georgia,3
simple,3
pressed,3
help,3
salary,3
m,3
date,3
murray,3
committed,3
case,3
sought,3
america,3
account,3
felt,3
illustrate,3
taxation,3
sent,3
collection,3
throughout,3
author,3
southern,3
issued,3
expected,3
serving,3
third,3
find,3
details,3
failed,3
loyal,3
authority,3
york,3
l,3
sort,3
eight,3
certain,3
consider,3
signed,3
organization,3
established,3
organized,3
handled,3
welfare,3
mary,3
experienced,3
officer,3
trained,3
greater,3
esq,3
whom,3
emoluments,3
term,3
late,3
further,3
fourth,3
though,3
suffered,3
younger,3
numerous,3
failure,3
prominent,3
whole,3
policies,3
participated,3
butterfield,3
status,3
commerce,3
sense,3
hard,3
talents,3
june,3
routine,3
philip,3
always,3
paid,3
excise,3
am,3
seemed,3
f,3
defended,3
happen,3
matter,3
attempts,3
grafton,3
return,3
whatever,3
make,3
standing,3
placemen,3
examined,3
added,3
thought,3
counterparts,3
continuity,3
tax,3
watson,3
performed,3
qualified,3
noted,3
williams,3
rise,3
picture,3
published,3
administrators,3
fell,3
toward,3
revenue,3
developed,3
do,3
accepted,3
necessary,3
books,3
controversy,3
thoroughly,3
crown,3
trusted,3
active,3
launched,3
increase,3
trust,3
full,3
subminister,3
junior,3
finally,3
reward,3
individual,3
started,3
appointment,3
distinction,3
earlier,3
spent,3
especially,3
written,3
edmund,3
xvi,3
probably,3
northern,3
principal,3
occupied,3
we,3
haven,3
governor,3
almon,3
entitled,3
hon,3
five,3
attitude,3
dec,3
relations,3
respect,3
itself,3
joseph,3
seat,3
matters,3
praise,3
exercised,3
whenever,3
whig,3
known,3
sums,3
know,3
branches,3
byam,3
particularly,3
inefficiency,3
rose,3
form,3
westminster,3
hoped,3
prestige,3
secure,3
occasionally,3
son,3
attachments,3
prepared,3
conn,3
lately,3
instead,3
efficient,3
resembled,3
assumed,3
ser,3
averred,3
successive,3
evidently,3
go,2
helped,2
personally,2
diligent,2
memorials,2
concerned,2
tunstall,2
ready,2
praised,2
occupant,2
alone,2
elections,2
ultimate,2
minutes,2
possessed,2
designed,2
advised,2
word,2
coalition,2
