WORDCOUNTS,WEIGHT
the,356
to,235
of,182
and,131
in,103
a,91
that,73
crampton,69
i,69
be,65
it,53
was,52
he,51
for,44
is,43
on,43
as,42
clarendon,41
not,39
from,37
with,35
have,35
his,34
but,34
had,34
s,34
howe,32
by,32
at,31
or,31
which,31
papers,26
this,26
any,24
we,22
may,21
an,21
them,19
if,18
were,18
will,17
no,17
there,17
mr,17
who,16
would,16
american,16
united,15
british,15
private,15
states,15
can,15
been,14
they,14
are,14
him,14
men,14
all,13
recruiting,13
so,13
what,13
has,13
neutrality,13
one,12
our,12
lord,12
my,12
sir,12
made,12
upon,12
done,11
canada,11
their,11
only,11
law,11
marcy,11
could,11
minister,11
do,11
ibid,11
f,10
matter,10
letters,10
out,10
letter,10
people,10
should,10
up,10
am,10
foreign,9
now,9
recruits,9
did,9
great,9
brebner,9
plan,9
shall,9
halifax,9
think,9
us,8
cit,8
before,8
more,8
very,8
p,8
such,8
john,8
sent,8
learned,8
own,8
op,8
thing,8
gaspard,8
act,7
therefore,7
july,7
certain,7
le,7
into,7
state,7
other,7
take,7
within,7
whether,7
dr,7
work,7
laws,7
subject,7
time,7
office,7
course,7
june,7
given,7
way,6
wrote,6
put,6
suggestions,6
already,6
must,6
two,6
agents,6
first,6
nova,6
those,6
conspirator,6
proceedings,6
case,6
money,6
number,6
some,6
part,6
whole,6
business,6
washington,6
least,6
after,6
latter,6
marchant,6
reasonable,6
between,6
themselves,6
scotia,6
when,6
than,6
dispatch,6
go,5
me,5
stop,5
make,5
once,5
thought,5
pp,5
j,5
position,5
without,5
these,5
being,5
give,5
might,5
others,5
secretary,5
head,5
expense,5
government,5
where,5
cabinet,5
march,5
information,5
account,5
received,5
say,5
officers,5
nothing,5
recruitment,5
since,5
agent,5
good,5
get,5
effect,5
also,5
much,5
notes,5
activities,5
york,4
service,4
success,4
risk,4
hope,4
quebec,4
carlisle,4
fair,4
means,4
joseph,4
under,4
then,4
experiment,4
prevent,4
instance,4
later,4
attempt,4
over,4
official,4
found,4
regard,4
able,4
new,4
end,4
considerable,4
feb,4
really,4
hand,4
william,4
somewhat,4
enlistment,4
however,4
vol,4
understanding,4
altogether,4
its,4
shown,4
until,4
dupe,4
wish,4
involved,4
written,4
purpose,4
communication,4
general,4
o,3
violation,3
bring,3
short,3
indeed,3
result,3
still,3
above,3
mar,3
violating,3
heard,3
instructions,3
britain,3
about,3
philadelphia,3
yet,3
arrangements,3
soon,3
authorities,3
dated,3
present,3
same,3
rowan,3
fact,3
offers,3
approval,3
taken,3
opinion,3
again,3
supplied,3
best,3
extent,3
down,3
here,3
hands,3
sure,3
report,3
enable,3
germans,3
clear,3
legion,3
scheme,3
fortnight,3
meanwhile,3
february,3
advances,3
last,3
further,3
korponay,3
german,3
persons,3
cannot,3
want,3
cause,3
well,3
u,3
receive,3
failure,3
having,3
measures,3
conference,3
boston,3
circumstances,3
point,3
through,3
cf,3
secret,3
became,3
object,3
lumley,3
went,3
urging,3
obtain,3
fail,3
succeed,3
thus,3
question,3
anything,3
project,3
against,3
following,3
lakes,3
charge,3
every,3
consuls,3
held,3
decided,3
keep,3
canadian,3
you,3
small,3
parliamentary,3
few,3
difficulty,3
convey,3
besides,3
even,3
results,3
relative,3
doing,3
though,3
perfect,2
promised,2
does,2
steps,2
operation,2
likely,2
alleged,2
io,2
whose,2
difficult,2
operations,2
fairly,2
continued,2
sometimes,2
chance,2
l,2
principally,2
naturally,2
trustworthy,2
ready,2
april,2
fear,2
view,2
extend,2
dec,2
precautions,2
consul,2
etc,2
army,2
relations,2
detailed,2
forth,2
expect,2
sending,2
direct,2
hold,2
study,2
join,2
months,2
accounts,2
send,2
easily,2
emigrants,2
frankness,2
bartlet,2
better,2
considered,2
ne,2
seems,2
occurred,2
complete,2
proposed,2
something,2
convinced,2
absence,2
too,2
w,2
show,2
reports,2
instructed,2
informed,2
either,2
followed,2
buchanan,2
fan,2
members,2
left,2
set,2
request,2
important,2
respecting,2
edmund,2
appear,2
arrival,2
jeu,2
suddenly,2
addition,2
many,2
arrived,2
advance,2
worth,2
december,2
inclined,2
idea,2
available,2
gone,2
nevertheless,2
putting,2
method,2
right,2
practical,2
entering,2
far,2
defeat,2
false,2
doubt,2
real,2
historical,2
going,2
man,2
fresh,2
passage,2
appeared,2
absolutely,2
meantime,2
never,2
took,2
trouble,2
abandon,2
just,2
political,2
let,2
numbers,2
regards,2
less,2
see,2
necessary,2
otherwise,2
russell,2
officer,2
material,2
placed,2
your,2
mathew,2
facilities,2
controversy,2
public,2
chances,2
while,2
expenses,2
barrett,2
almost,2
long,2
trial,2
e,2
determined,2
machinery,2
whom,2
true,2
taking,2
reported,2
story,2
most,2
intelligent,2
depended,2
prospect,2
govt,2
role,2
explain,2
tried,2
technical,2
loss,2
collection,2
partly,2
immediately,2
regarding,2
fulfil,2
come,2
trip,2
charges,2
montreal,2
spring,2
imprudent,2
mischief,2
week,2
smolenski,2
run,2
three,2
numerous,2
delay,2
confer,2
replied,2
battalion,2
moment,2
niagara,2
although,2
proceeding,2
period,2
need,2
diminish,2
responsibility,2
assured,2
next,2
order,2
attempted,2
voluntary,2
enlisting,2
depots,2
campaign,2
