WORDCOUNTS,WEIGHT
the,366
of,219
to,126
and,125
in,79
had,40
by,38
a,35
their,33
hanseatic,32
for,32
from,31
as,26
hansa,26
with,24
its,24
on,23
netherland,22
were,22
was,20
trade,20
north,20
i,19
gravamina,19
bruges,18
at,17
that,17
p,16
baltic,15
factory,14
countries,13
or,13
ii,13
towns,13
holland,13
which,13
low,13
part,12
merchants,12
been,11
goods,11
cities,11
ibid,11
be,11
antwerp,10
dutch,10
through,10
staple,10
third,10
northern,10
not,9
economic,9
union,9
after,9
pp,8
those,8
league,8
an,8
german,7
privileges,7
provinces,7
v,7
commodities,7
this,7
whose,6
no,6
treaty,6
liubeck,6
more,6
l,6
other,6
germans,6
zealand,6
because,6
own,6
century,6
ships,6
winter,6
flemish,6
decline,6
rights,5
began,5
legal,5
denmark,5
only,5
der,5
into,5
liibeck,5
capital,5
flanders,5
amsterdam,5
iii,5
hanseats,5
markets,5
brabant,5
sea,5
city,5
use,5
during,5
commercial,5
three,5
commerce,5
cf,5
vi,5
between,5
than,5
they,4
regionalism,4
fleet,4
before,4
same,4
already,4
interests,4
could,4
able,4
far,4
sound,4
duties,4
while,4
particularly,4
cloth,4
des,4
year,4
have,4
merchant,4
hanse,4
netherlands,4
years,4
industry,4
european,3
recesse,3
his,3
if,3
later,3
foreign,3
who,3
force,3
certain,3
ix,3
often,3
competition,3
friesland,3
policy,3
organization,3
any,3
collectively,3
most,3
two,3
reports,3
agents,3
beyond,3
routes,3
again,3
might,3
maximilian,3
control,3
england,3
opening,3
lack,3
europe,3
areas,3
time,3
products,3
william,3
netherlanders,3
where,3
economy,3
province,3
xvii,3
manufactures,3
waters,3
unable,3
property,3
having,3
basis,3
danish,3
made,3
upon,3
maritime,3
failure,3
whole,3
thus,3
fact,3
would,3
germanic,3
prosperity,3
especially,3
intercourse,3
stein,3
themselves,3
burgundy,3
respectively,3
effect,3
period,3
und,3
greatness,3
carried,2
archives,2
now,2
pacific,2
without,2
common,2
important,2
boundaries,2
affairs,2
burghers,2
nearly,2
e,2
considerably,2
mar,2
production,2
degree,2
direct,2
seas,2
special,2
provisions,2
united,2
is,2
respect,2
hansische,2
restrict,2
centuries,2
means,2
rising,2
specified,2
soon,2
diplomatically,2
exchanged,2
duke,2
under,2
former,2
tariff,2
raw,2
allies,2
laid,2
necessary,2
home,2
emergence,2
release,2
fleets,2
then,2
action,2
accordance,2
obsolete,2
costs,2
these,2
mercantile,2
must,2
gesch,2
cargoes,2
violations,2
decree,2
economically,2
being,2
member,2
rise,2
depend,2
either,2
fairs,2
position,2
membership,2
wool,2
members,2
sixteenth,2
fifteenth,2
law,2
edict,2
indicated,2
vols,2
natural,2
over,2
all,2
individually,2
harbor,2
against,2
reprisals,2
fallen,2
pass,2
aug,2
vigorous,2
im,2
function,2
