WORDCOUNTS,WEIGHT
the,1394
of,1097
and,532
in,461
a,241
to,241
is,217
that,207
rice,140
china,138
for,129
chinese,128
by,126
on,110
loess,105
as,105
are,91
from,88
been,87
have,80
which,79
it,78
was,77
be,76
not,73
agriculture,69
i,65
plants,65
this,63
with,59
an,58
area,57
has,56
ancient,55
north,55
s,53
but,53
c,53
wild,52
at,49
than,48
culture,48
ch,48
origin,47
b,47
wheat,46
all,45
only,45
ti,44
were,44
more,42
times,40
ho,40
no,37
most,37
early,36
they,35
pollen,35
highland,34
p,34
asia,33
other,33
india,32
its,32
odes,32
or,32
cultivated,32
much,32
first,31
world,31
two,30
known,30
may,29
found,29
neolithic,28
there,28
river,28
these,28
species,28
history,27
cereal,27
irrigation,27
plant,27
u,26
their,26
during,26
also,26
barley,26
had,25
book,25
some,25
since,25
grains,25
millets,25
food,25
chou,24
late,24
see,24
so,24
agricultural,24
plains,23
century,22
after,22
shang,22
various,22
time,22
archaeological,22
can,22
soil,22
later,21
one,21
such,21
well,21
evidence,21
recent,21
even,20
study,20
records,20
western,19
site,19
prehistoric,19
scientific,19
many,19
natural,19
water,18
new,18
do,18
semiarid,18
soybean,18
years,18
grown,18
d,18
studies,17
into,17
sorghum,17
important,17
character,17
because,17
probably,17
southern,17
about,17
k,17
between,17
little,17
modern,16
han,16
those,16
artemisia,16
south,16
discovered,16
o,15
chenopodiaceae,15
cultures,15
far,15
number,15
table,15
introduced,15
major,15
j,14
primitive,14
earlier,14
old,14
certain,14
near,14
shansi,14
fact,14
areas,14
low,14
where,14
any,14
eng,14
although,14
common,13
if,13
chi,13
second,13
total,13
oryza,13
system,13
botanical,13
eastern,13
along,13
panicum,13
yellow,13
sites,13
indigenous,13
people,13
name,13
ripened,13
ibid,13
original,13
environment,13
historical,13
until,13
miliaceum,13
central,12
yangtze,12
based,12
pleistocene,12
setaria,12
ed,12
crops,12
made,12
period,12
mulberry,12
what,12
while,12
should,12
ii,11
steppe,11
university,11
profile,11
four,11
cultural,11
honan,11
mesopotamia,11
few,11
climate,11
when,11
therefore,11
marshes,11
climatic,11
three,11
would,11
today,11
huai,11
un,11
earliest,11
past,11
works,11
varieties,11
botanists,11
names,10
long,10
scientists,10
written,10
very,10
millennium,10
his,10
view,10
my,10
chang,10
archaeology,10
periods,10
habitats,10
vavilov,10
indicates,10
liu,10
twenty,10
men,10
v,10
general,10
northern,10
peking,10
