WORDCOUNTS,WEIGHT
the,534
of,347
to,220
and,212
a,210
in,162
is,103
as,102
that,86
from,67
for,65
civilization,59
not,53
by,48
it,45
be,45
culture,44
with,43
they,39
at,38
are,38
was,37
this,35
on,35
history,34
an,34
or,33
their,32
have,30
his,27
but,27
its,25
world,25
civilizations,24
man,24
cultural,23
more,22
life,22
s,21
phase,21
only,21
new,21
were,21
which,20
nature,19
historians,19
no,19
so,19
he,18
would,18
other,17
has,17
who,17
one,16
most,16
what,16
if,15
even,15
than,15
when,15
each,15
itself,14
them,14
himself,13
neolithic,13
power,13
we,13
into,12
all,12
time,12
civilized,12
years,12
historical,12
erwin,12
through,12
much,12
before,11
robert,11
people,11
yet,11
many,11
been,11
might,10
those,10
some,10
such,10
may,10
out,10
sense,10
can,10
over,10
between,10
first,9
state,9
human,9
had,9
will,9
two,9
do,9
less,9
themselves,9
cultures,9
course,9
should,9
technics,8
within,8
few,8
about,8
fact,8
like,8
institutions,8
often,8
very,8
does,7
way,7
western,7
later,7
there,7
political,7
west,7
since,7
underlying,7
york,7
after,7
could,7
however,7
still,7
rome,7
another,7
times,7
period,7
high,7
roman,7
consciousness,7
form,7
protohistoric,7
early,7
large,6
modern,6
experience,6
long,6
system,6
development,6
point,6
far,6
old,6
without,6
how,6
study,6
though,6
basis,6
revolution,6
nearly,6
under,6
same,6
end,6
perhaps,6
style,6
him,6
any,6
city,6
thousand,6
groups,5
use,5
being,5
did,5
great,5
century,5
single,5
look,5
rather,5
growth,5
unit,5
means,5
university,5
population,5
age,5
came,5
called,5
events,5
chinese,5
well,5
line,5
example,5
place,5
decline,5
up,5
also,5
second,5
biological,5
interpretation,5
already,5
social,5
volume,5
members,5
toward,5
death,5
empire,5
made,5
upon,5
values,5
historic,5
individual,5
never,5
become,5
today,5
then,5
must,5
down,5
come,5
question,5
instead,5
evidence,5
american,4
either,4
homo,4
j,4
words,4
available,4
amplitude,4
china,4
possible,4
diversity,4
sapiens,4
against,4
de,4
religious,4
find,4
conquerors,4
sort,4
humanity,4
special,4
latin,4
beyond,4
trained,4
found,4
hands,4
centers,4
cannot,4
purpose,4
department,4
used,4
away,4
own,4
around,4
society,4
led,4
give,4
economic,4
whatever,4
make,4
manpower,4
ancient,4
others,4
men,4
patterns,4
hand,4
where,4
see,4
examples,4
hundred,4
aside,4
nuclear,4
especially,4
species,4
suggest,4
fall,4
peoples,4
equipment,4
know,4
control,4
seem,4
believe,4
akkadian,4
animal,4
beginning,4
particular,4
almost,4
both,4
apparatus,4
numerous,4
approximately,4
traditional,4
among,4
resources,4
go,3
child,3
functionaries,3
created,3
college,3
europeans,3
ultimate,3
hannibal,3
word,3
chief,3
every,3
seems,3
immense,3
conditions,3
government,3
i,3
ambition,3
marches,3
primitive,3
task,3
capacity,3
account,3
prior,3
kroeber,3
laws,3
behavior,3
thus,3
incas,3
mastered,3
learning,3
amount,3
young,3
wholly,3
effective,3
irresistible,3
weakness,3
industrialism,3
l,3
ways,3
developed,3
represented,3
similar,3
b,3
pages,3
animals,3
distinct,3
degenerate,3
objects,3
numbers,3
protohistory,3
appear,3
irrigation,3
greater,3
character,3
mcneill,3
advance,3
prehistoric,3
societies,3
weapons,3
rule,3
pass,3
dynasty,3
sovereignty,3
scale,3
enough,3
gods,3
balance,3
technical,3
because,3
work,3
tr,3
whole,3
year,3
during,3
earth,3
things,3
individualism,3
research,3
periods,3
matter,3
various,3
european,3
short,3
indeed,3
expansion,3
forward,3
bloc,3
domination,3
communist,3
makes,3
thought,3
technology,3
these,3
rise,3
banks,3
considerable,3
snyder,3
metropolitan,3
gives,3
degree,3
original,3
harvard,3
evolution,3
styles,3
points,3
general,3
earlier,3
exchange,3
class,3
evolutionary,3
conquest,3
overthrow,3
usually,3
force,3
case,3
wars,3
historian,3
practice,3
conclusion,3
simply,3
here,3
sustained,3
natural,3
key,3
leaders,3
wall,3
living,3
person,3
maintain,3
while,3
local,3
yield,3
introduced,3
practices,3
distinguishable,3
until,3
invasion,3
range,3
states,3
extremely,3
remains,3
c,3
era,3
enterprise,3
strong,3
technological,3
nicholas,2
dinosaurs,2
done,2
struggle,2
adopt,2
develops,2
deserve,2
mar,2
entirely,2
center,2
needed,2
elaborated,2
live,2
h,2
bias,2
position,2
fixed,2
necessarily,2
title,2
laid,2
occurred,2
total,2
causes,2
leads,2
intentions,2
diffusion,2
lower,2
permit,2
ii,2
deterministic,2
taken,2
cavalry,2
analogies,2
corruption,2
accompanied,2
restrictive,2
throughout,2
follows,2
inherent,2
able,2
service,2
take,2
help,2
rudimentary,2
mind,2
miles,2
stand,2
henry,2
forthcoming,2
dr,2
persian,2
anthropologists,2
king,2
inca,2
america,2
agriculture,2
draw,2
say,2
except,2
along,2
keeps,2
warfare,2
labor,2
central,2
comprehensive,2
centralized,2
review,2
collapse,2
historically,2
immediate,2
objective,2
invaders,2
neighbors,2
savages,2
phenomenology,2
unity,2
nor,2
feasible,2
ceramics,2
contrary,2
left,2
weight,2
y,2
drawn,2
reflexion,2
vice,2
apparently,2
hardly,2
generation,2
according,2
grasp,2
languages,2
brute,2
added,2
whose,2
act,2
purely,2
generations,2
berdyaev,2
square,2
presentation,2
process,2
goes,2
proportion,2
bad,2
loren,2
organization,2
river,2
established,2
intensive,2
emergence,2
just,2
edition,2
n,2
w,2
four,2
polanyi,2
surface,2
peru,2
peninsula,2
requires,2
exploitation,2
back,2
internal,2
preference,2
view,2
dispersion,2
lead,2
entered,2
begun,2
international,2
ortega,2
diet,2
interesting,2
late,2
occupation,2
nobles,2
third,2
war,2
appears,2
grounds,2
absolute,2
possibility,2
affair,2
improve,2
sites,2
cato,2
supplanted,2
distinguish,2
romans,2
scope,2
decisions,2
concept,2
psychological,2
italy,2
actors,2
multiplied,2
literally,2
partly,2
collective,2
edmund,2
winter,2
rodents,2
reflect,2
interpreted,2
status,2
good,2
creating,2
stylized,2
legacy,2
least,2
paintings,2
mesopotamia,2
presented,2
hard,2
field,2
responsibility,2
box,2
order,2
peruvian,2
quite,2
perished,2
family,2
small,2
several,2
replace,2
brought,2
boundaries,2
tended,2
proper,2
using,2
interchange,2
theorem,2
value,2
promising,2
lenin,2
situation,2
variety,2
punic,2
scientific,2
comparative,2
tempted,2
return,2
classic,2
senescence,2
object,2
surviving,2
eiseley,2
hold,2
indus,2
thesis,2
professor,2
teaching,2
dropped,2
ed,2
planet,2
alien,2
ferment,2
noted,2
fire,2
goals,2
lewis,2
name,2
again,2
spend,2
christ,2
conceived,2
put,2
artists,2
lack,2
really,2
oneself,2
larger,2
contemporary,2
sumerian,2
outside,2
present,2
answer,2
coincided,2
forth,2
necessary,2
norms,2
