WORDCOUNTS,WEIGHT
the,282
of,240
in,132
and,120
to,120
a,86
western,48
history,43
as,42
that,38
s,36
is,34
for,33
china,32
this,32
by,31
modern,29
japanese,29
japan,27
chinese,26
view,24
on,24
it,22
west,22
world,22
from,21
are,21
be,21
an,19
or,19
was,18
has,18
been,17
historians,16
asian,16
which,16
tokyo,15
they,15
one,15
their,15
not,15
have,15
see,14
i,13
east,13
had,13
with,13
imperialism,13
historical,13
k,12
european,12
his,11
its,11
scholars,11
into,10
first,10
europe,10
marxism,10
may,10
no,10
war,10
these,10
many,10
after,10
society,9
fairbank,9
will,9
pp,9
social,9
more,9
state,9
were,9
so,9
theory,9
at,8
american,8
than,8
part,8
under,8
only,8
ch,8
through,8
marxist,8
views,8
t,7
there,7
point,7
century,7
partly,7
also,7
he,7
study,7
yet,7
but,7
power,7
time,7
who,7
absolutism,7
between,7
studies,6
political,6
far,6
thus,6
such,6
rekishi,6
because,6
example,6
own,6
john,6
sekai,6
three,6
can,6
today,6
them,6
textbook,6
her,6
now,5
way,5
acceptance,5
experience,5
ii,5
system,5
eastern,5
felt,5
some,5
since,5
even,5
doctrine,5
process,5
pages,5
cultural,5
having,5
rise,5
order,5
feudalism,5
economic,5
same,5
ed,5
perhaps,5
another,5
like,5
period,5
capitalism,5
peking,5
when,5
must,5
over,5
little,5
states,5
all,4
other,4
great,4
those,4
possible,4
phase,4
interest,4
rather,4
similar,4
b,4
rising,4
india,4
called,4
p,4
academic,4
generally,4
second,4
comparative,4
teruhiko,4
hayashi,4
confucian,4
doubt,4
new,4
values,4
ibid,4
modernization,4
times,4
latter,4
onabe,4
ing,4
institutions,4
conclusion,4
what,4
form,4
almost,4
became,4
bourgeois,4
think,4
accept,4
gaisetsu,4
much,4
among,4
recent,4
humanism,3
english,3
being,3
england,3
asia,3
comparatively,3
tradition,3
religion,3
mastery,3
human,3
development,3
against,3
cf,3
learning,3
response,3
single,3
influence,3
jiten,3
growth,3
remain,3
university,3
found,3
international,3
late,3
transl,3
gave,3
fit,3
caused,3
things,3
quite,3
up,3
preliminary,3
communist,3
lies,3
make,3
movement,3
about,3
recognized,3
thought,3
j,3
thesis,3
emotional,3
fact,3
reform,3
readers,3
model,3
renaissance,3
ao,3
counterpart,3
degree,3
examples,3
explanation,3
upon,3
