WORDCOUNTS,WEIGHT
the,609
of,350
and,279
to,205
in,200
a,164
was,109
had,82
he,80
that,79
legal,71
by,71
for,69
s,65
were,63
as,62
they,60
not,59
new,57
tender,55
it,53
their,52
be,51
treasury,43
would,42
his,41
but,41
with,41
york,40
chase,39
on,39
notes,37
which,37
banks,36
from,36
at,34
been,34
money,33
them,31
government,29
no,29
is,29
bank,28
an,27
congress,26
this,25
alley,24
than,24
its,24
later,23
greenbacks,23
gold,23
war,22
have,22
one,20
who,20
or,19
made,19
first,18
means,18
spaulding,18
more,18
so,18
such,17
currency,17
less,17
there,16
issue,16
bankers,16
men,16
tenders,15
could,15
program,15
all,14
other,14
ooo,14
when,14
hammond,14
boston,14
national,14
being,13
purse,13
also,13
business,13
john,13
bonds,13
are,13
north,13
said,12
i,12
those,12
empty,12
may,12
because,12
hooper,12
did,12
what,12
mitchell,11
cong,11
committee,10
history,10
before,10
immediate,10
adams,10
pay,10
act,10
gallatin,10
union,10
civil,10
stevens,10
states,10
three,10
then,10
paper,10
both,10
bray,10
years,10
if,9
henry,9
measures,9
interest,9
after,9
proposed,9
january,9
purpose,9
two,9
financial,9
b,9
sess,9
jan,9
should,9
federal,8
great,8
political,8
though,8
house,8
called,8
nothing,8
taxes,8
unless,8
during,8
demand,8
whatever,8
yet,8
put,8
time,8
must,8
measure,8
need,8
market,7
secretary,7
j,7
state,7
papers,7
globe,7
has,7
too,7
most,7
herald,7
necessity,7
wrote,7
creditors,7
these,7
proposal,7
necessary,7
times,7
banking,7
dec,7
payment,7
united,7
months,7
any,7
much,7
now,6
e,6
experience,6
every,6
politics,6
opposed,6
whose,6
special,6
n,6
requirements,6
banker,6
transactions,6
issues,6
several,6
already,6
only,6
payments,6
law,6
upon,6
ibid,6
like,6
become,6
appleton,6
william,6
instead,6
themselves,6
debate,6
among,6
needed,5
american,5
use,5
library,5
long,5
system,5
sought,5
some,5
against,5
senate,5
philadelphia,5
ways,5
congressional,5
greenbackers,5
your,5
work,5
own,5
monetary,5
massachusetts,5
economic,5
make,5
bill,5
under,5
tax,5
same,5
others,5
many,5
end,5
reasons,5
session,5
sound,5
james,5
alternative,5
very,5
february,5
feb,5
went,5
merchant,5
our,5
samuel,5
crisis,5
evidence,5
fiscal,5
obligations,4
lovejoy,4
common,4
fessenden,4
told,4
essays,4
into,4
member,4
interests,4
military,4
seems,4
words,4
mind,4
account,4
since,4
price,4
even,4
sherman,4
importance,4
w,4
p,4
out,4
changed,4
austin,4
bore,4
sovereignty,4
required,4
receive,4
having,4
relief,4
whole,4
year,4
president,4
either,4
least,4
hard,4
annual,4
world,4
value,4
still,4
once,4
thought,4
soon,4
contractors,4
chairman,4
do,4
another,4
credit,4
largely,4
opdyke,4
him,4
especially,4
trying,4
can,4
dunham,4
george,4
practical,4
worse,4
life,4
quite,4
borrowings,4
itself,4
country,4
finance,4
different,4
historical,4
economy,4
making,4
through,4
easy,4
manufacturer,4
needs,4
supply,4
major,4
customers,3
declared,3
alone,3
mar,3
group,3
favor,3
something,3
whom,3
chasm,3
ii,3
taken,3
salmon,3
principles,3
tradition,3
fresh,3
devised,3
trouble,3
stopped,3
mass,3
america,3
